Date,SMS,Month,Year,Day,Amount,Type,Merchant,Category
2019-04-15 16:43:00,transaction of aed 12.60 debited from your a/c ****0535 at gulf pastry llc abu dhabi ae. avl bal is aed 5411.55,4,2019,15,12.6,Debit,gulf pastry llc abu dhabi ae,Shopping
2019-04-17 07:38:00,transaction of aed 22.00 debited from your a/c ****0535 at tea junction express abu dhabi ae. avl bal is aed 5389.55,4,2019,17,22.0,Debit,tea junction express abu dhabi ae,Shopping
2019-04-17 21:11:00,transaction of aed 8.50 debited from your a/c ****0535 at parakandy abdul majeed abu dhabi ae. avl bal is aed 5381.05,4,2019,17,8.5,Debit,parakandy abdul majeed abu dhabi ae,Shopping
2019-04-20 13:39:00,transaction of aed 70.00 debited from your a/c ****0535 at adnoc baniyas(north)95 abu dhabi ae. avl bal is aed 5311.05,4,2019,20,70.0,Debit,adnoc baniyas,Shopping
2019-04-20 18:53:00,transaction of aed 12.00 debited from your a/c ****0535 at tea junction express abu dhabi ae. avl bal is aed 5299.05,4,2019,20,12.0,Debit,tea junction express abu dhabi ae,Shopping
2019-04-20 23:41:00,transaction of aed 181.00 debited from your a/c ****0535 at applebees abu dhabi ae. avl bal is aed 5118.05,4,2019,20,181.0,Debit,applebees abu dhabi ae,Shopping
2019-04-23 19:04:00,transaction of aed 15.00 debited from your a/c ****0535 at parakandy abdul majeed abu dhabi ae. avl bal is aed 5103.05,4,2019,23,15.0,Debit,parakandy abdul majeed abu dhabi ae,Shopping
2019-04-23 19:23:00,transaction of aed 50.00 debited from your a/c ****0535 at adnoc s/s -754 shawama abu dhabi ae. avl bal is aed 5053.05,4,2019,23,50.0,Debit,adnoc s,Bills
2019-04-23 21:34:00,transaction of aed 315.00 debited from your a/c ****0535 at feathers fashion-yass auh ae. avl bal is aed 4738.05,4,2019,23,315.0,Debit,feathers fashion,Other
2019-04-23 22:22:00,transaction of aed 237.30 debited from your a/c ****0535 at nomination italy acces abu dhabi ae. avl bal is aed 4500.75,4,2019,23,237.3,Debit,nomination italy acces abu dhabi ae,Shopping
2019-04-23 22:39:00,transaction of aed 22.00 debited from your a/c ****0535 at starbucks -d459 al sha abu dhabi ae. avl bal is aed 4478.75,4,2019,23,22.0,Debit,starbucks,Food
2019-04-24 15:42:00,"dear customer, aed 16000.00 was credited to your account ****0535. your available account balance is aed 20478.75",4,2019,24,16000.0,Credit,,Other
2019-04-24 21:43:00,transaction of aed 114.19 debited from your a/c ****0535 at art house cafe abu dhabi ae. avl bal is aed 20364.56,4,2019,24,114.19,Debit,art house cafe abu dhabi ae,Food
2019-04-26 12:29:00,"dear customer, aed 14000.00 was debited from your account ****0535. your available account balance is aed 6364.56",4,2019,26,14000.0,Debit,,Other
2019-04-26 14:16:00,"dear customer, aed 500.00 was debited from your account ****0535. your available account balance is aed 5863.51",4,2019,26,500.0,Debit,,Other
2019-04-26 14:16:00,"dear customer, aed 1.05 was debited from your account ****0535. your available account balance is aed 5863.51",4,2019,26,1.05,Debit,,Other
2019-04-26 14:43:00,"dear customer, aed 1.05 was debited from your account ****0535. your available account balance is aed 2362.46",4,2019,26,1.05,Debit,,Other
2019-04-26 14:43:00,"dear customer, aed 3500.00 was debited from your account ****0535. your available account balance is aed 2362.46",4,2019,26,3500.0,Debit,,Other
2019-04-26 22:23:00,transaction of aed 189.79 debited from your a/c ****0535 at snatch restaurant abu dhabi ae. avl bal is aed 2172.67,4,2019,26,189.79,Debit,snatch restaurant abu dhabi ae,Food
2019-04-26 22:46:00,transaction of aed 50.00 debited from your a/c ****0535 at adnoc auh int air 993 abu dhabi ae. avl bal is aed 2122.67,4,2019,26,50.0,Debit,adnoc auh int air 993 abu dhabi ae,Shopping
2019-04-27 15:23:00,transaction of aed 0.34 debited from your a/c ****0535 at kermalak restaurant abu dhabi ae. avl bal is aed 2122.33,4,2019,27,0.34,Debit,kermalak restaurant abu dhabi ae,Food
2019-04-27 18:00:00,transaction of aed 33.60 debited from your a/c ****0535 at kermalak restaurant abu dhabi ae. avl bal is aed 2088.73,4,2019,27,33.6,Debit,kermalak restaurant abu dhabi ae,Food
2019-04-27 18:06:00,transaction of aed 50.00 debited from your a/c ****0535 at adnoc jurnyafoors/s-95 abu dhabi ae. avl bal is aed 2038.73,4,2019,27,50.0,Debit,adnoc jurnyafoors,Bills
2019-04-27 19:12:00,"dear customer, aed 300.00 was debited from your account ****0535. your available account balance is aed 1738.73",4,2019,27,300.0,Debit,,Other
2019-04-28 12:19:00,transaction of aed 18.00 debited from your a/c ****0535 at cafteria alraai abu dhabi ae. avl bal is aed 1720.73,4,2019,28,18.0,Debit,cafteria alraai abu dhabi ae,Shopping
2019-04-28 20:13:00,transaction of aed 38.65 debited from your a/c ****0535 at al bateen mall supermar abu dhabi ae. avl bal is aed 1682.08,4,2019,28,38.65,Debit,al bateen mall supermar abu dhabi ae,Shopping
2019-04-29 17:47:00,transaction of aed 100.00 debited from your a/c ****0535 at adnoc jurnyafoors/s-95 abu dhabi ae. avl bal is aed 1582.08,4,2019,29,100.0,Debit,adnoc jurnyafoors,Bills
2019-04-30 16:47:00,transaction of aed 21.00 debited from your a/c ****0535 at fruitesca juice abu dhabi ae. avl bal is aed 1561.08,4,2019,30,21.0,Debit,fruitesca juice abu dhabi ae,Shopping
2019-04-30 19:48:00,transaction of aed 114.19 debited from your a/c ****0535 at art house cafe abu dhabi ae. avl bal is aed 1446.89,4,2019,30,114.19,Debit,art house cafe abu dhabi ae,Food
2019-05-01 18:19:00,transaction of aed 25.00 debited from your a/c ****0535 at zomato order dubai ae. avl bal is aed 1421.89,5,2019,1,25.0,Debit,zomato order dubai ae,Food
2019-05-02 22:02:00,transaction of aed 16.25 debited from your a/c ****0535 at farah experiences abu dhabi ae. avl bal is aed 1405.64,5,2019,2,16.25,Debit,farah experiences abu dhabi ae,Shopping
2019-05-04 16:51:00,transaction of aed 35.20 debited from your a/c ****0535 at zomato order dubai ae. avl bal is aed 1370.44,5,2019,4,35.2,Debit,zomato order dubai ae,Food
2019-05-04 19:33:00,"dear customer, aed 630.00 was debited from your account ****0535. your available account balance is aed 740.44",5,2019,4,630.0,Debit,,Other
2019-05-06 14:16:00,transaction of aed 65.11 debited from your a/c ****0535 at falcon pack abu dhabi ae. avl bal is aed 675.33,5,2019,6,65.11,Debit,falcon pack abu dhabi ae,Shopping
2019-05-06 14:56:00,transaction of aed 90.16 debited from your a/c ****0535 at wear mart branch 3 abu dhabi ae. avl bal is aed 585.17,5,2019,6,90.16,Debit,wear mart branch 3 abu dhabi ae,Shopping
2019-05-06 15:57:00,"dear customer, aed 110.00 was debited from your account ****0535. your available account balance is aed 475.17",5,2019,6,110.0,Debit,,Other
2019-05-07 15:47:00,transaction of aed 54.00 debited from your a/c ****0535 at lulu hypermarket- wtc abu dhabi ae. avl bal is aed 421.17,5,2019,7,54.0,Debit,lulu hypermarket,Shopping
2019-05-07 23:02:00,transaction of aed 79.50 debited from your a/c ****0535 at target pharmacy -055039 abu dhabi ae. avl bal is aed 341.67,5,2019,7,79.5,Debit,target pharmacy,Other
2019-05-11 20:41:00,"dear customer, aed 100.00 was debited from your account ****0535. your available account balance is aed 241.67",5,2019,11,100.0,Debit,,Other
2019-05-12 01:22:00,"dear customer, aed 200.00 was debited from your account ****0535. your available account balance is aed 41.67",5,2019,12,200.0,Debit,,Other
2019-05-12 01:47:00,transaction of aed 30.00 debited from your a/c ****0535 at adnoc al mafraq s-171 abu dhabi ae. avl bal is aed 11.67,5,2019,12,30.0,Debit,adnoc al mafraq s,Bills
2019-05-26 08:23:00,"dear customer, profit of aed 0.91 was credited to your account ****0535.",5,2019,26,0.91,Credit,,Other
2019-05-26 09:26:00,"dear customer, aed 16000.00 was credited to your account ****0535. your available account balance is aed 30012.58",5,2019,26,16000.0,Credit,,Other
2019-05-26 10:59:00,"dear customer, aed 5000.00 was debited from your account ****0535. your available account balance is aed 25011.53",5,2019,26,5000.0,Debit,,Other
2019-05-26 10:59:00,"dear customer, aed 1.05 was debited from your account ****0535. your available account balance is aed 25011.53",5,2019,26,1.05,Debit,,Other
2019-05-27 01:12:00,transaction of aed 2913.00 debited from your a/c ****0535 at etihad airways ey lbaydv ras al khaima ae. avl bal is aed 22098.53,5,2019,27,2913.0,Debit,etihad airways ey lbaydv ras al khaima ae,Other
2019-05-27 01:24:00,transaction of aed 2913.00 debited from your a/c ****0535 at etihad airways ey xonnym ras al khaima ae. avl bal is aed 19185.53,5,2019,27,2913.0,Debit,etihad airways ey xonnym ras al khaima ae,Other
2019-05-27 17:49:00,"dear customer, aed 100.00 was debited from your account ****0535. your available account balance is aed 19084.48",5,2019,27,100.0,Debit,,Other
2019-05-27 17:49:00,"dear customer, aed 1.05 was debited from your account ****0535. your available account balance is aed 19084.48",5,2019,27,1.05,Debit,,Other
2019-05-27 18:20:00,"dear customer, aed 100.00 was debited from your account ****0535. your available account balance is aed 18984.48",5,2019,27,100.0,Debit,,Other
2019-05-27 21:23:00,transaction of aed 500.00 debited from your a/c ****0535 at abu dhabi national oil abu dhabi ae. avl bal is aed 18484.48,5,2019,27,500.0,Debit,abu dhabi national oil abu dhabi ae,Bills
2019-05-29 22:33:00,"dear customer, aed 10000.00 was credited to your account ****0535. your available account balance is aed 28484.48",5,2019,29,10000.0,Credit,,Other
2019-05-29 22:36:00,"dear customer, aed 800.00 was credited to your account ****0535. your available account balance is aed 29284.48",5,2019,29,800.0,Credit,,Other
2019-05-29 22:38:00,"dear customer, aed 3000.00 was debited from your account ****0535. your available account balance is aed 26284.48",5,2019,29,3000.0,Debit,,Other
2019-05-29 22:39:00,"dear customer, aed 24200.00 was debited from your account ****0535. your available account balance is aed 2084.48",5,2019,29,24200.0,Debit,,Other
2019-05-30 16:16:00,"dear customer, aed 26.00 was credited to your account ****0535. your available account balance is aed 2110.48",5,2019,30,26.0,Credit,,Other
2019-05-31 00:47:00,transaction of aed 36.75 debited from your a/c ****0535 at fruitesca juice abu dhabi ae. avl bal is aed 2073.73,5,2019,31,36.75,Debit,fruitesca juice abu dhabi ae,Shopping
2019-05-31 00:49:00,transaction of aed 33.60 debited from your a/c ****0535 at parakandy abdul majeed abu dhabi ae. avl bal is aed 2040.13,5,2019,31,33.6,Debit,parakandy abdul majeed abu dhabi ae,Shopping
2019-05-31 06:35:00,"dear customer, profit of aed 5.98 was credited to your account ****0535.",5,2019,31,5.98,Credit,,Other
2019-05-31 13:32:00,"dear customer, aed 100.00 was credited to your account ****0535. your available account balance is aed 2146.11",5,2019,31,100.0,Credit,,Other
2019-05-31 17:54:00,transaction of aed 70.00 debited from your a/c ****0535 at welcome sky trav-710604 dubai ae. avl bal is aed 2076.11,5,2019,31,70.0,Debit,welcome sky trav,Other
2019-06-01 12:05:00,"dear customer, aed 2500.00 was credited to your account ****0535. your available account balance is aed 4576.11",6,2019,1,2500.0,Credit,,Other
2019-06-01 15:41:00,"dear customer, aed 2500.00 was debited from your account ****0535. your available account balance is aed 2076.11",6,2019,1,2500.0,Debit,,Other
2019-06-01 16:33:00,transaction of aed 4.65 debited from your a/c ****0535 at smart dubai government dubai ae. avl bal is aed 2071.46,6,2019,1,4.65,Debit,smart dubai government dubai ae,Shopping
2019-06-01 16:34:00,"a pos trxn on your account no ****0535 at smart dubai government, dubai in ae on 02/06/19  for aed 4.65 is reversed.",6,2019,1,4.65,Other,smart dubai government,Shopping
2019-06-01 16:34:00,transaction of aed 50.00 debited from your a/c ****0535 at smart dubai government dubai ae. avl bal is aed 2026.11,6,2019,1,50.0,Debit,smart dubai government dubai ae,Shopping
2019-06-04 15:00:00,"dear customer, aed 300.00 was debited from your account ****0535. your available account balance is aed 1726.11",6,2019,4,300.0,Debit,,Other
2019-06-06 00:50:00,transaction of aed 65.00 debited from your a/c ****0535 at starbucks -d459 al sha abu dhabi ae. avl bal is aed 1661.11,6,2019,6,65.0,Debit,starbucks,Food
2019-06-06 22:51:00,"dear customer, aed 100.00 was debited from your account ****0535. your available account balance is aed 1561.11",6,2019,6,100.0,Debit,,Other
2019-06-07 05:15:00,"dear customer, profit of aed 18.51 was credited to your account ****0535.",6,2019,7,18.51,Credit,,Other
2019-06-07 16:21:00,transaction of aed 106.75 debited from your a/c ****0535 at lulu hypermarket- wtc abu dhabi ae. avl bal is aed 14272.87,6,2019,7,106.75,Debit,lulu hypermarket,Shopping
2019-06-07 16:58:00,transaction of aed 20.00 debited from your a/c ****0535 at mcdonalds-54007 abu dhabi ae. avl bal is aed 14252.87,6,2019,7,20.0,Debit,mcdonalds,Food
2019-06-07 17:13:00,transaction of aed 35.00 debited from your a/c ****0535 at adnoc al corniches-s93 abu dhabi ae. avl bal is aed 14217.87,6,2019,7,35.0,Debit,adnoc al corniches,Bills
2019-06-07 18:43:00,transaction of aed 35.00 debited from your a/c ****0535 at adnoc al corniches-s93 abu dhabi ae. avl bal is aed 14182.87,6,2019,7,35.0,Debit,adnoc al corniches,Bills
2019-06-07 20:22:00,"dear customer, aed 700.00 was debited from your account ****0535. your available account balance is aed 13482.87",6,2019,7,700.0,Debit,,Other
2019-06-08 05:57:00,"dear customer, aed 12800.00 was debited from your account ****0535. your available account balance is aed 682.87",6,2019,8,12800.0,Debit,,Other
2019-06-08 14:55:00,transaction of aed 55.00 debited from your a/c ****0535 at kuwait food co american dubai ae. avl bal is aed 627.87,6,2019,8,55.0,Debit,kuwait food co american dubai ae,Food
2019-06-08 15:46:00,transaction of aed 20.21 debited from your a/c ****0535 at cine royal cinema-dalm abu dhabi ae. avl bal is aed 607.66,6,2019,8,20.21,Debit,cine royal cinema,Other
2019-06-09 15:23:00,transaction of aed 36.76 debited from your a/c ****0535 at gulf film llc dubai ae. avl bal is aed 570.90,6,2019,9,36.76,Debit,gulf film llc dubai ae,Bills
2019-06-09 15:27:00,transaction of aed 38.00 debited from your a/c ****0535 at gulf film llc   -791101 dubai ae. avl bal is aed 532.90,6,2019,9,38.0,Debit,gulf film llc,Other
2019-06-09 21:51:00,transaction of aed 262.50 debited from your a/c ****0535 at rival ladies beauty sa abu dhabi ae. avl bal is aed 270.40,6,2019,9,262.5,Debit,rival ladies beauty sa abu dhabi ae,Shopping
2019-06-09 22:12:00,transaction of aed 37.80 debited from your a/c ****0535 at aseer time al kuwait abu dhabi ae. avl bal is aed 232.60,6,2019,9,37.8,Debit,aseer time al kuwait abu dhabi ae,Shopping
2019-06-10 17:06:00,"dear customer, aed 1029.00 was credited to your account ****0535. your available account balance is aed 1261.60",6,2019,10,1029.0,Credit,,Other
2019-06-10 22:53:00,"dear customer, aed 1000.00 was debited from your account ****0535. your available account balance is aed 261.60",6,2019,10,1000.0,Debit,,Other
2019-06-10 22:57:00,"dear customer, aed 150.00 was credited to your account ****0535. your available account balance is aed 411.60",6,2019,10,150.0,Credit,,Other
2019-06-11 10:24:00,transaction of aed 42.00 debited from your a/c ****0535 at continental food-399108 sharjah ae. avl bal is aed 369.60,6,2019,11,42.0,Debit,continental food,Food
2019-06-11 10:34:00,transaction of aed 30.30 debited from your a/c ****0535 at carrefour dubai ae. avl bal is aed 339.30,6,2019,11,30.3,Debit,carrefour dubai ae,Shopping
2019-06-11 10:54:00,transaction of aed 183.00 debited from your a/c ****0535 at kuwait food co american dubai ae. avl bal is aed 156.30,6,2019,11,183.0,Debit,kuwait food co american dubai ae,Food
2019-06-11 17:10:00,transaction of aed 37.00 debited from your a/c ****0535 at ggico gourmet investme abu dhabi ae. avl bal is aed 119.30,6,2019,11,37.0,Debit,ggico gourmet investme abu dhabi ae,Shopping
2019-06-12 11:56:00,transaction of aed 94.00 debited from your a/c ****0535 at starbucks-d717-adnoc auh ae. avl bal is aed 25.30,6,2019,12,94.0,Debit,starbucks,Food
2019-06-12 17:18:00,"dear customer, aed 100.00 was credited to your account ****0535. your available account balance is aed 125.30",6,2019,12,100.0,Credit,,Other
2019-06-12 17:21:00,transaction of aed 73.50 debited from your a/c ****0535 at art house cafe abu dhabi ae. avl bal is aed 51.80,6,2019,12,73.5,Debit,art house cafe abu dhabi ae,Food
2019-06-15 17:18:00,"dear customer, aed 1000.00 was credited to your account ****0535. your available account balance is aed 1051.80",6,2019,15,1000.0,Credit,,Other
2019-06-15 23:16:00,"dear customer, aed 1000.00 was debited from your account ****0535. your available account balance is aed 51.80",6,2019,15,1000.0,Debit,,Other
2019-06-15 23:46:00,"dear customer, aed 100.00 was credited to your account ****0535. your available account balance is aed 151.80",6,2019,15,100.0,Credit,,Other
2019-06-15 23:49:00,"dear customer, aed 100.00 was debited from your account ****0535. your available account balance is aed 51.80",6,2019,15,100.0,Debit,,Other
2019-06-16 15:28:00,pos trxn. rejected due to insufficient funds at kuwaiti cuisine-br abu dhabi ae on 17/06/19  for aed 52.50 on your account no ****0535,6,2019,16,52.5,Other,kuwaiti cuisine,Other
2019-06-16 15:29:00,"dear customer, aed 100.00 was credited to your account ****0535. your available account balance is aed 109.30",6,2019,16,100.0,Credit,,Other
2019-06-16 15:29:00,"dear customer, aed 10.00 was credited to your account ****0535. your available account balance is aed 109.30",6,2019,16,10.0,Credit,,Other
2019-06-16 15:29:00,transaction of aed 52.50 debited from your a/c ****0535 at kuwaiti cuisine-br abu dhabi ae. avl bal is aed 109.30,6,2019,16,52.5,Debit,kuwaiti cuisine,Other
2019-06-17 08:16:00,transaction of aed 12.60 debited from your a/c ****0535 at parakandy abdul majeed abu dhabi ae. avl bal is aed 96.70,6,2019,17,12.6,Debit,parakandy abdul majeed abu dhabi ae,Shopping
2019-06-18 08:27:00,"dear customer, aed 3200.00 was credited to your account ****0535. your available account balance is aed 3296.70",6,2019,18,3200.0,Credit,,Other
2019-06-18 08:39:00,transaction of aed 8.00 debited from your a/c ****0535 at parakandy abdul majeed abu dhabi ae. avl bal is aed 3288.70,6,2019,18,8.0,Debit,parakandy abdul majeed abu dhabi ae,Shopping
2019-06-18 11:34:00,"dear customer, aed 3200.00 was debited from your account ****0535. your available account balance is aed 88.70",6,2019,18,3200.0,Debit,,Other
2019-06-18 13:02:00,transaction of aed 45.20 debited from your a/c ****0535 at talabat middle east in dubai ae. avl bal is aed 43.50,6,2019,18,45.2,Debit,talabat middle east,Food
2019-06-18 19:24:00,transaction of aed 47.00 debited from your a/c ****0535 at first food servi-051148 abu dhabi ae. avl bal is aed 46.50,6,2019,18,47.0,Debit,first food servi,Food
2019-06-18 19:24:00,"dear customer, aed 50.00 was credited to your account ****0535. your available account balance is aed 46.50",6,2019,18,50.0,Credit,,Other
2019-06-18 19:29:00,transaction of aed 5.00 debited from your a/c ****0535 at baniyas co-op-mafraq abu dhabi ae. avl bal is aed 41.50,6,2019,18,5.0,Debit,baniyas co,Shopping
2019-06-18 21:29:00,transaction of aed 30.00 debited from your a/c ****0535 at flora jewellery abu dhabi ae. avl bal is aed 11.50,6,2019,18,30.0,Debit,flora jewellery abu dhabi ae,Shopping
2019-06-19 15:44:00,"dear customer, aed 50.00 was credited to your account ****0535. your available account balance is aed 61.50",6,2019,19,50.0,Credit,,Other
2019-06-19 15:45:00,transaction of aed 26.00 debited from your a/c ****0535 at starbucks-adnoc-d843 abu dhabi ae. avl bal is aed 35.50,6,2019,19,26.0,Debit,starbucks,Food
2019-06-19 16:24:00,"dear customer, aed 1419.00 was credited to your account ****0535. your available account balance is aed 1454.50",6,2019,19,1419.0,Credit,,Other
2019-06-19 19:29:00,"dear customer, aed 1000.00 was debited from your account ****0535. your available account balance is aed 454.50",6,2019,19,1000.0,Debit,,Other
2019-06-19 19:49:00,"dear customer, aed 100.00 was debited from your account ****0535. your available account balance is aed 354.50",6,2019,19,100.0,Debit,,Other
2019-06-19 20:24:00,"dear customer, aed 300.00 was credited to your account ****0535. your available account balance is aed 654.50",6,2019,19,300.0,Credit,,Other
2019-06-19 20:52:00,"dear customer, aed 300.00 was debited from your account ****0535. your available account balance is aed 354.50",6,2019,19,300.0,Debit,,Other
2019-06-19 21:05:00,"dear customer, aed 200.00 was debited from your account ****0535. your available account balance is aed 154.50",6,2019,19,200.0,Debit,,Other
2019-06-19 21:07:00,"dear customer, aed 200.00 was credited to your account ****0535. your available account balance is aed 354.50",6,2019,19,200.0,Credit,,Other
2019-06-19 21:10:00,"dear customer, aed 20.00 was credited to your account ****0535. your available account balance is aed 374.50",6,2019,19,20.0,Credit,,Other
2019-06-19 21:20:00,transaction of aed 37.00 debited from your a/c ****0535 at first food servi-051148 abu dhabi ae. avl bal is aed 337.50,6,2019,19,37.0,Debit,first food servi,Food
2019-06-19 21:23:00,transaction of aed 5.00 debited from your a/c ****0535 at baniyas co-op-mafraq abu dhabi ae. avl bal is aed 332.50,6,2019,19,5.0,Debit,baniyas co,Shopping
2019-06-20 01:22:00,"dear customer, aed 20.00 was debited from your account ****0535. your available account balance is aed 312.50",6,2019,20,20.0,Debit,,Other
2019-06-22 08:23:00,transaction of aed 10.50 debited from your a/c ****0535 at parakandy abdul majeed abu dhabi ae. avl bal is aed 302.00,6,2019,22,10.5,Debit,parakandy abdul majeed abu dhabi ae,Shopping
2019-06-23 14:48:00,transaction of aed 13.65 debited from your a/c ****0535 at gulf pastry llc abu dhabi ae. avl bal is aed 288.35,6,2019,23,13.65,Debit,gulf pastry llc abu dhabi ae,Shopping
2019-06-24 08:11:00,transaction of aed 22.00 debited from your a/c ****0535 at starbucks-adnoc-d843 abu dhabi ae. avl bal is aed 266.35,6,2019,24,22.0,Debit,starbucks,Food
2019-06-24 18:43:00,transaction of aed 22.25 debited from your a/c ****0535 at adnoc rabdan ss162 abu dhabi ae. avl bal is aed 244.10,6,2019,24,22.25,Debit,adnoc rabdan ss162 abu dhabi ae,Shopping
2019-06-25 08:18:00,transaction of aed 10.50 debited from your a/c ****0535 at gulf pastry llc abu dhabi ae. avl bal is aed 233.60,6,2019,25,10.5,Debit,gulf pastry llc abu dhabi ae,Shopping
2019-06-25 21:50:00,transaction of aed 10.00 debited from your a/c ****0535 at aldar wtc car park abu dhabi ae. avl bal is aed 223.60,6,2019,25,10.0,Debit,aldar wtc car park abu dhabi ae,Shopping
2019-06-26 14:17:00,transaction of aed 64.00 debited from your a/c ****0535 at talabat middle east in dubai ae. avl bal is aed 16159.60,6,2019,26,64.0,Debit,talabat middle east,Food
2019-06-26 14:50:00,"dear customer, aed 16000.00 was credited to your account ****0535. your available account balance is aed 16159.60",6,2019,26,16000.0,Credit,,Other
2019-06-26 16:42:00,"dear customer, aed 2100.00 was credited to your account ****0535. your available account balance is aed 18259.60",6,2019,26,2100.0,Credit,,Other
2019-06-26 22:38:00,"dear customer, aed 4000.00 was debited from your account ****0535. your available account balance is aed 14258.55",6,2019,26,4000.0,Debit,,Other
